case_id,lambda,omega_log_K,core_hours
lam040,1.05,107.17,500
lam043,0.74,133.68,500
lam045,0.69,132.51,500
lam046,0.59,221.81,500
lam049,0.78,216.97,500
lam054,0.56,159.2,500
lam057,0.56,294,500
lam058,1.06,81.35,500
lam062,1.48,182,500
lam063,0.96,175,500
lam065,0.78,105.5,500
lam066,0.67,86.6,500
lam069,0.85,260,500
lam076,0.97,141.13,500
lam042,0.84,213.35,500
lam047,0.49,293.96,500
lam051,1.43,79.6,500
lam052,0.96,140.8,500
lam056,0.52,376,500
lam059,0.47,235.81,500
lam068,0.49,310,500
lam070,0.93,122,500
lam072,1.23,127.8,500
lam073,0.842,127.8,500
lam075,0.63,170,500
lam039,0.93,120.15,500
lam044,0.79,119.45,500
lam048,0.55,235.41,500
lam055,0.61,145.5,500
lam060,0.78,235,500
lam064,0.51,158.3,500
lam067,0.72,97.5,500
lam041,0.54,227.12,500
lam050,1.05,100.97,500
lam053,1.17,120.2,500
lam061,0.83,315,500
lam071,0.96,118,500
lam074,0.72,209,500
