case_id,paper_id,material,condition,lambda_ref,omega_log_K,theta_D_K,omega2_K,mu_star,expected_method,cost_tier_coreh
lam077,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Ba2RhH6 at 20 GPa,0.62,329.59,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam078,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Ca2CoH6 at 20 GPa,0.39,1454.86,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam079,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Ca2IrH6 at 20 GPa,0.68,1372.79,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam080,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Ca2RhH6 at 20 GPa,0.51,849.56,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam081,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Mg2CoH6 at 20 GPa,1.34,1169.38,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam082,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Mg2IrH6 at 20 GPa,3.04,927.52,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam083,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Mg2RhH6 at 20 GPa,2.05,1002.21,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam084,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Sr2CoH6 at 20 GPa,0.27,641.45,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam085,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Sr2IrH6 at 20 GPa,0.43,429.14,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam086,1096665832190115840,"LaPtH6 (ternary hydride, R-3m, triatomic H3 units) [duplicate paper_id","La2Pt2H13, 20 GPa",0.615,449.5,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam087,1096665832190115840,"LaPtH6 (ternary hydride, R-3m, triatomic H3 units) [duplicate paper_id","LaPt2H7, 20 GPa",0.788,305.3,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam088,1096665832190115840,"LaPtH6 (ternary hydride, R-3m, triatomic H3 units) [duplicate paper_id","LaPt3H9, 20 GPa",0.816,284,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam089,1096665832190115840,"LaPtH6 (ternary hydride, R-3m, triatomic H3 units) [duplicate paper_id","LaPtH5, 20 GPa",0.494,551.6,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam090,1096665832190115840,"LaPtH6 (ternary hydride, R-3m, triatomic H3 units) [duplicate paper_id","LaPtH6, 0 GPa",0.789,282.1,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam091,1096665832190115840,"LaPtH6 (ternary hydride, R-3m, triatomic H3 units) [duplicate paper_id","LaPtH6, 20 GPa",0.701,511.7,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam092,811682811466481665,"Monatomic metallic hydrogen, I4_1/amd (Cs-IV phase) under high pressur","I4_1/amd H, 480 GPa, mu*=0.10",2.17,1870.04,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam093,811682811466481665,"Monatomic metallic hydrogen, I4_1/amd (Cs-IV phase) under high pressur","I4_1/amd H, 539 GPa, mu*=0.10",2.01,2015.98,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam094,811682811466481665,"Monatomic metallic hydrogen, I4_1/amd (Cs-IV phase) under high pressur","I4_1/amd H, 608 GPa, mu*=0.10",1.89,2106.38,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam095,811682811466481665,"Monatomic metallic hydrogen, I4_1/amd (Cs-IV phase) under high pressur","I4_1/amd H, 802 GPa, mu*=0.10",1.68,2238.58,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam096,812042380692684801,"halogen(F)-doped carbon clathrate FC34 (fluorine in C28 cage, fcc)",FC34 (fluorine in C28 cage),0.85,1471.9,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam097,812509483795218435,"ternary S-P-H alloy hydrides (S0.75P0.25H3, S0.5P0.5H3) under high pre","S0.5P0.5H3, Imma, 200 GPa",0.94,1200,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam098,812509483795218435,"ternary S-P-H alloy hydrides (S0.75P0.25H3, S0.5P0.5H3) under high pre","S0.75P0.25H3, Immm, 200 GPa",1.31,291,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam099,812581407606964224,"Mg0.5Ca0.5H6 (Im-3m sodalite clathrate hexahydride, 200 GPa)",(single),2.53,1400,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam100,813087272097284096,FeH5 (tetragonal I4/mmm) at 130-200 GPa,"FeH5, I4/mmm, 130 GPa",1.13,614,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam101,813087272097284096,FeH5 (tetragonal I4/mmm) at 130-200 GPa,"FeH5, I4/mmm, 200 GPa",1.1,600,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam102,813179722505650176,"GeH3 (A15, P4_2/mmc, Cccm) at ~180 GPa","A15 GeH3, r_s=1.52 (~180 GPa)",1.82,989,,,0.13,DFPT+anharmonic/SSCHA,1e4-1e5
lam103,813179722505650176,"GeH3 (A15, P4_2/mmc, Cccm) at ~180 GPa","Cccm GeH3, r_s=1.52 (~180 GPa)",1.6,793,,,0.13,DFPT+anharmonic/SSCHA,1e4-1e5
lam104,813179722505650176,"GeH3 (A15, P4_2/mmc, Cccm) at ~180 GPa","P4_2/mmc GeH3, r_s=1.52 (~180 GPa)",1.56,737,,,0.13,DFPT+anharmonic/SSCHA,1e4-1e5
lam105,813198240718520323,AlH3 cubic Pm-3n phase (73-165 GPa),AlH3 Pm-3n 73 GPa,0.591,388.8,,,0.07,DFPT+anharmonic/SSCHA,1e4-1e5
lam106,814544077151272962,"H5S2 (sulfur hydride, P1 phase) under high pressure",SrAu2Si2 (I4/mmm),0.42,156.98,,,0.12,DFPT+anharmonic/SSCHA,1e4-1e5
lam107,814544077151272962,"H5S2 (sulfur hydride, P1 phase) under high pressure",SrAuSi3 (I4mm),0.47,235.81,,,0.12,DFPT+anharmonic/SSCHA,1e4-1e5
lam108,814559975392149507,"Tellurium hydrides (H4Te, H5Te2, HTe) at high pressure","H4Te, 200 GPa",1.46,929.1,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam109,814565865667166209,"SnH4, C2/m phase (high pressure hydride)","SnH4 C2/m, 500 GPa",1.02,1027,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam110,814691620430544896,BeH2 (Cmcm and P4/nmm metallic phases under pressure),"BeH2 Cmcm 250 GPa, mu*=0.10",0.63,1670.7,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam111,814691620430544896,BeH2 (Cmcm and P4/nmm metallic phases under pressure),"BeH2 P4/nmm 400 GPa, mu*=0.10",0.65,2170,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam112,867750354362564780,"CS2H10 (CH4-intercalated H3S, host-guest hydride) under pressure","Cmc2_1, 150 GPa, mu*=0.10 (Allen-Dynes)",2.01,799,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam113,867750354362564780,"CS2H10 (CH4-intercalated H3S, host-guest hydride) under pressure","P-3m1, 100 GPa, mu*=0.10 (Allen-Dynes)",0.63,1113,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam114,867750354362564780,"CS2H10 (CH4-intercalated H3S, host-guest hydride) under pressure","P3m1, 100 GPa, mu*=0.10 (Allen-Dynes)",1.21,916,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam115,867750354362564780,"CS2H10 (CH4-intercalated H3S, host-guest hydride) under pressure","P3m1, 50 GPa, mu*=0.10 (Allen-Dynes)",1.51,651,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam116,867750354362564780,"CS2H10 (CH4-intercalated H3S, host-guest hydride) under pressure","Pm, 200 GPa, mu*=0.10 (Allen-Dynes)",0.69,1386,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam117,867750520855462386,"Carbon sodalite C6 and XC6 (NaC6, AlC6, ClC6)",CaAlSi AF-like stacking,0.8,146.76,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam118,867763770720518898,"C2/m KYH8 (K-Y-H ternary hydride, high pressure)","C2/m KYH8, 200 GPa",1.478,989.9,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam119,867763770720518898,"C2/m KYH8 (K-Y-H ternary hydride, high pressure)","C2/m KYH8, 250 GPa",1.214,1342.51,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam120,867763770720518898,"C2/m KYH8 (K-Y-H ternary hydride, high pressure)","C2/m KYH8, 300 GPa",2.09,960.47,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam121,867765680290660591,"Tin hydrides SnH8, SnH12, SnH14 (also SnH4), high pressure","C2/m-SnH12, 250 GPa",1.25,991,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam122,867765680290660591,"Tin hydrides SnH8, SnH12, SnH14 (also SnH4), high pressure","C2/m-SnH14, 300 GPa",1.187,1099,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam123,867765680290660591,"Tin hydrides SnH8, SnH12, SnH14 (also SnH4), high pressure","I-4m2-SnH8, 220 GPa",1.188,919,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam124,867765680290660591,"Tin hydrides SnH8, SnH12, SnH14 (also SnH4), high pressure","I4/mmm-SnH4, 220 GPa",1.18,1025,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam125,867768106380952491,"Ternary lanthanum borohydrides (LaBH7, LaBH8)","Fm-3m LaBH8, 100 GPa",1.11,1189,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam126,867768106380952491,"Ternary lanthanum borohydrides (LaBH7, LaBH8)","Fm-3m LaBH8, 200 GPa",0.72,1557,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam127,867768106380952491,"Ternary lanthanum borohydrides (LaBH7, LaBH8)","Fm-3m LaBH8, 50 GPa (Allen-Dynes)",2.29,692,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam128,867768106380952491,"Ternary lanthanum borohydrides (LaBH7, LaBH8)","Fm-3m LaBH8, 55 GPa (Allen-Dynes)",1.97,807,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
lam129,867768106380952491,"Ternary lanthanum borohydrides (LaBH7, LaBH8)","P-3m1 LaBH7, 110 GPa",1.46,837,,,0.1,DFPT+anharmonic/SSCHA,1e4-1e5
