case_id,qgrid,job_id,job_name,sku,np,nk,kgrid,image,bundle,lambda_ref,omega_log_ref_K,material,condition,note
lam262,4,22835894,dfpt-scale-lam262-q4-mpiifort-np8-20260609,c8_m64_cpu,8,1,32,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_mpiifort_batch1_20260609/lam262_q4,0.676,469,P,"sc P, 70 GPa (P_calc)","first scaling follow-up after q2 smoke job 22835810"
lam262,6,22835890,dfpt-scale-lam262-q6-mpiifort-np8-20260609,c8_m64_cpu,8,1,32,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_mpiifort_batch1_20260609/lam262_q6,0.676,469,P,"sc P, 70 GPa (P_calc)","q6 convergence check"
lam263,2,22835892,dfpt-scale-lam263-q2-mpiifort-np8-20260609,c8_m64_cpu,8,1,32,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_mpiifort_batch1_20260609/lam263_q2,0.76,439.1,S,"beta-Po sulfur, 160 GPa","high-pressure elemental q2 preflight"
lam263,4,22835891,dfpt-scale-lam263-q4-mpiifort-np8-20260609,c8_m64_cpu,8,1,32,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_mpiifort_batch1_20260609/lam263_q4,0.76,439.1,S,"beta-Po sulfur, 160 GPa","failed: QE set_kplusq too many k points"
lam264,2,22835899,dfpt-scale-lam264-q2-mpiifort-np8-20260609,c8_m64_cpu,8,1,32,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_mpiifort_batch1_20260609/lam264_q2,0.53,560.1,S,"simple-cubic sulfur, 280 GPa","high-pressure elemental q2 preflight"
lam264,4,22835897,dfpt-scale-lam264-q4-mpiifort-np8-20260609,c8_m64_cpu,8,1,32,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_mpiifort_batch1_20260609/lam264_q4,0.53,560.1,S,"simple-cubic sulfur, 280 GPa","q4 scaling paired with q2"
lam150,2,22835901,dfpt-scale-lam150-q2-mpiifort-np8-20260609,c8_m64_cpu,8,1,32,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_mpiifort_batch1_20260609/lam150_q2,0.43,186.3,I,"fcc iodine, 81 GPa","heavy one-atom q2 preflight"
lam150,4,22835898,dfpt-scale-lam150-q4-mpiifort-np8-20260609,c8_m64_cpu,8,1,32,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_mpiifort_batch1_20260609/lam150_q4,0.43,186.3,I,"fcc iodine, 81 GPa","q4 scaling paired with q2"
lam138,2,22835905,dfpt-scale-lam138-q2-mpiifort-np8-20260609,c8_m64_cpu,8,1,24,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_mpiifort_batch1_20260609/lam138_q2,0.8,89.41,CdCNi3,"cubic antiperovskite CdCNi3","still running when last checked"
lam253,2,22835904,dfpt-scale-lam253-q2-mpiifort-np8-20260609,c8_m64_cpu,8,1,20,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_mpiifort_batch1_20260609/lam253_q2,1.51,130.9,Mo3Os,"A15 Mo3Os","still running when last checked"
lam154,2,22835906,dfpt-scale-lam154-q2-mpiifort-np8-20260609,c8_m64_cpu,8,1,24,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_mpiifort_batch1_20260609/lam154_q2,0.78,272,TaC,"B1 TaC","B1 carbide analogue q2 preflight"
