case_id,material_type,material,condition,qgrid,kgrid,job_id,status,lambda_ref,lambda,lambda_relerr_pct,omega_log_ref_K,omega_log_K,omega_relerr_pct,top_q_share_pct,sku,np,nk,verdict,diagnosis,next_action
lam262,simple-metal,P,"sc P, 70 GPa (P_calc)",4,32,22835894,Finished,0.676,0.701,3.70,469,440.0,-6.18,11,c8_m64_cpu,8,1,reproduced,q4 close to paper; stable top_q,compare with q6 and consider pressure-relaxed cell
lam262,simple-metal,P,"sc P, 70 GPa (P_calc)",6,32,22835890,Finished,0.676,0.552,-18.34,469,375.2,-20.00,12,c8_m64_cpu,8,1,not_reproduced_yet,q4 to q6 drops strongly; q-grid or structure/pressure sensitivity not resolved,do not claim converged; inspect q-resolved contribution and consider pressure relaxation
lam263,simple-metal,S,"beta-Po sulfur, 160 GPa",2,32,22835892,Finished,0.76,0.453,-40.39,439.1,462.1,5.24,30,c8_m64_cpu,8,1,smoke_unconverged,coarse q-grid dominated by one mode; lambda not converged,rerun q4 with reduced k-grid to avoid QE k+q limit
lam263,simple-metal,S,"beta-Po sulfur, 160 GPa",4,32,22835891,Failed,0.76,,,,439.1,,,c8_m64_cpu,8,1,failed_or_incomplete,,
lam264,simple-metal,S,"simple-cubic sulfur, 280 GPa",2,32,22835899,Finished,0.53,0.235,-55.66,560.1,642.7,14.75,27,c8_m64_cpu,8,1,smoke_unconverged,coarse q-grid dominated by one mode; lambda not converged,use q4/q6
lam264,simple-metal,S,"simple-cubic sulfur, 280 GPa",4,32,22835897,Finished,0.53,0.585,10.38,560.1,549.1,-1.96,22,c8_m64_cpu,8,1,reproduced,q4 close to paper; top_q acceptable but not tiny,run q6
lam150,intermetallic,I,"fcc iodine, 81 GPa",2,32,22835901,Finished,0.43,0.229,-46.74,186.3,276.9,48.63,25,c8_m64_cpu,8,1,not_reproduced_yet,coarse q-grid underestimates lambda and overestimates omega,use q4/q6
lam150,intermetallic,I,"fcc iodine, 81 GPa",4,32,22835898,Finished,0.43,0.341,-20.70,186.3,223.3,19.86,10,c8_m64_cpu,8,1,not_reproduced_yet,q4 improves but still low lambda/high omega,run q6
lam154,intermetallic,TaC,B1 TaC,2,24,22835906,Finished,0.78,1.346,72.56,272,165.9,-39.01,38,c8_m64_cpu,8,1,smoke_unconverged,strong single-mode anomaly; q2 not converged,run q4 before any conclusion
lam253,simple-metal,Mo3Os,A15 Mo3Os,2,20,22835904,Finished,1.51,,,,130.9,,,c8_m64_cpu,8,1,finished_missing_lambda_artifact,,
lam138,intermetallic,CdCNi3,cubic antiperovskite CdCNi3,2,24,22835905,Finished,0.8,,,,89.41,,,c8_m64_cpu,8,1,finished_missing_lambda_artifact,,
lam263,simple-metal,S,"beta-Po sulfur, 160 GPa",4,24,22839850,Finished,0.76,0.733,-3.55,439.1,439.9,0.18,11,c8_m64_cpu,8,1,reproduced,q4 k24 rerun completed; fixes previous set_kplusq failure and is close to paper,treat as strong q4 reproduction; optional q6/k sweep if stricter convergence is needed
lam035,2d-layered,B2C,B2C monolayer,2,24x24x1,22840171,Finished,0.92,1.709,85.76,314.8,483.9,53.72,47,c8_m64_cpu,8,1,smoke_unconverged,2D smoke completed but single-mode anomaly dominates coarse q-grid; not converged and current structure needs source alignment,do not claim reproduction; validate rectangular B2C source structure before denser production scaling
lam264,simple-metal,S,"simple-cubic sulfur, 280 GPa",6,32,22839851,Finished,0.53,0.507,-4.34,560.1,493.8,-11.84,14,c8_m64_cpu,8,1,reproduced,q6 lambda is close to paper and top_q is acceptable; omega remains about 12 percent low,near-converged lambda; inspect q4/q6 trend and pressure/structure sensitivity before final claim
lam104,hydride,GeH3,"P4_2/mmc GeH3, r_s=1.52 (~180 GPa)",2,16x16x16,22839912,Finished,1.56,1.137,-27.12,737,1307.3,77.38,4,c8_m64_cpu,8,1,not_reproduced_yet,hydride harmonic q2 smoke completed; lambda low and omega too high despite low top_q,do not claim reproduction; hydride likely needs source-aligned pressure relaxation and anharmonic/method audit
lam009,2d-layered,MoS2,"electron-doped monolayer MoS2, x=0.18 electrons/f.u.",2,24x24x1,22839909,Finished,1.7,2.284,34.35,230.2,153.2,-33.45,44,c8_m64_cpu,8,1,smoke_unconverged,2D MoS2 smoke completed but single-mode anomaly dominates coarse q-grid,do not claim reproduction; validate doped 2D structure and run denser q-grid only after source alignment
lam123,hydride,SnH8,"I-4m2-SnH8, 220 GPa",2,16x16x16,22840165,Finished,1.188,1.274,7.24,919,265.3,-71.13,12,c8_m64_cpu,8,1,lambda_close_omega_off,SnH8 hydride smoke has close lambda but omega_log is far too low,"treat as workflow/structure smoke; audit hydride structure, pressure, and harmonic-vs-anharmonic method before scaling"
lam263,simple-metal,S,"beta-Po sulfur, 160 GPa",6,24,22840937,Finished,0.76,0.703,-7.50,439.1,455.8,3.80,4,c8_m64_cpu,8,1,reproduced,q6 k24 confirms lam263 close to benchmark with low top_q; q4 and q6 are consistent enough for a strong fixed-structure reproduction,record as strong reproduction candidate; remaining caveat is pressure-relaxed-cell validation
