case_id,material,material_type,condition
exp02,Na,alkali-sp,"bcc, ambient pressure, T->0"
exp03,Al,simple-sp,"fcc, ambient pressure, T->0"
exp05,Sn,simple-sp,"beta-Sn (white tin, bct A5), ambient pressure, T->0"
exp06,Pb,simple-sp-heavy,"fcc, ambient pressure, T->0"
exp08,V,bcc-transition-3d,"bcc, ambient pressure, T->0"
exp09,Ta,bcc-transition-5d,"bcc, ambient pressure, T->0"
exp10,Mo,bcc-transition-4d,"bcc, ambient pressure, T->0"
exp12,Nb3Sn,A15-intermetallic,"A15 (Cr3Si type), stoichiometric, ambient pressure"
exp13,V3Si,A15-intermetallic,"A15 (Cr3Si type), stoichiometric, ambient pressure"
exp15,NbC,rocksalt-carbide,"B1 rocksalt, near-stoichiometric, ambient pressure"
exp17,NbN,rocksalt-nitride,"B1 rocksalt (delta-NbN), ambient pressure"
exp18,MgB2,diboride-multiband,"AlB2 type (P6/mmm), ambient pressure"
exp21,Th,f-band-metal,"fcc, ambient pressure, T->0"
