paper_id,material,lambda_computed,lambda_computed_method,lambda_experimental,lambda_exp_method,rel_diff_pct,notes
814700620282855425,HfB2 (hafnium diboride),0.17,older-first-principles,0.25,specific-heat-gamma,-32,"Scalar-relativistic full-potential LMTO (FP-LMTO) DFT linear response (Sternheimer/Savrasov), PW91 GGA; lambda = 2∫alpha^2F/omega domega = 0.17 (weak coupling), omega_log=459 K, Tc"
813166672897638402,Ta2AlC (MAX phase),0.33,dfpt,0.35,raman-linewidth (Allen relation),-6,"DFPT (Quantum ESPRESSO, USPP) alpha^2F(omega) integrated gives total lambda_DFPT=0.33; predicted Tc≈6-7 K (Allen-Dynes, mu*=0.10-0.15). EXPERIMENTAL lambda from in-situ Raman: zero"
813219863777509378,YIn3,0.42,dfpt,0.45,specific-heat-gamma,-7,"Linear-response (DFPT) ab initio lambda_ep=0.42, omega_ln=94.5 cm^-1; Allen-Dynes Tc~0.77 K vs experimental 0.8-1.1 K. Specific-heat route: gamma_exp=5.17 mJ/K^2 mol, gamma_exp/gam"
867756062256660659,ThCoC2 (noncentrosymmetric),0.59,dfpt,0.663,specific-heat-gamma,-11,"Computed lambda=0.590 (SOC; 0.583 scalar-relativistic) from DFPT alpha^2F(omega). Experimental specific-heat route: gamma_band=5.04 mJ/mol/K2, gamma_expt=8.38; lambda_exp = gamma_e"
811126087244316673,La3Ni2B2N3,0.73,dfpt,0.85,specific-heat-gamma,-14,"Linear-response (DFPT/Migdal-Eliashberg) alpha^2F gives lambda=0.73, omega_ln=301.23 K; Allen-Dynes Tc=11.61 K (mu*=0.10) vs experimental 11.7-13 K. A highlight node states the com"
867757683732643869,CdCNi3 (antiperovskite),0.8,dfpt,0.99,specific-heat-gamma,-19,"DFPT/linear-response Eliashberg gives total lambda=0.80, omega_ln=89.41 K; Allen-Dynes Tc~3.03 K (mu*=0.14) vs experiment. Specific-heat route: C_el^exp/T=18.0 mJ/mol K^2 vs band C"
867765509788008942,"MgB2 and hypothetical sp-valent diborides (NaB2, C",0.835,fit-to-Tc,0.835,Tc-inversion,0,"No first-principles alpha^2F lambda. Single effective lambda=0.835 obtained by inverting the McMillan formula (omega_0=700 K, mu*=0.1) to reproduce the experimental Tc=39.5 K of Mg"
814655275444207618,NaBi (body-centered tetragonal topological metal),0.84,dfpt,0.62,Tc-inversion,35,DFPT linear-response (Quantum ESPRESSO); lambda=2∫alpha^2F/omega domega. Computed lambda=0.72 (non-SOC) and 0.84 (with SOC); >95% of lambda from low-frequency Bi acoustic modes. om
811978101436186627,"bcc V-Nb-Ta binary alloys (incl. pure V, Nb, Ta)",0.86,fit-to-Tc,0.86,Tc-inversion,0,"lambda obtained per composition by numerically inverting McMillan's Tc formula (mu*=0.13, Theta_D and linearly interpolated phonon temperatures) - i.e. fit to the measured Tc. Valu"
812588024712921088,bcc Tantalum (Ta),0.877,older-first-principles,1.04,specific-heat-gamma,-16,Computed lambda=0.877 (rep. 0.88) from alpha^2F(omega) using relativistic KKR band structure + rigid-muffin-tin approximation (RMTA) matrix elements + Born-von Karman phonons. omeg
811684389233623042,YSn3 (cubic),0.99,dfpt,0.63,specific-heat-gamma,57,"DFPT (Quantum ESPRESSO linear-response) alpha^2F gives lambda_ep=0.99, omega_ln=65 cm^-1; McMillan Tc~5.9 K (mu*=0.12) vs experimental ~7 K. Specific-heat route: gamma_exp=7.57 mJ/"
811115060788199424,A15 Nb_{1-beta}Sn_beta (Nb3Sn and off-stoichiometr,1.85,dfpt,1.8,tunneling,3,"DFPT (PW91 GGA, USPP) alpha^2F(omega), lambda=2∫alpha^2F/omega domega. Computed lambda=1.85 (stoichiometric Sn=0.25, Nb3Sn), 1.22 (Sn=0.21875), 0.92 (Sn=0.1875); Allen-Dynes Tc=18."
812447586928558080,DyBa2Cu3O7-x,2,older-first-principles,2,specific-heat-gamma,0,"lambda_ep ~ 2.0 obtained from N*(0)=(1+lambda)N^b(0): N^b(0)=0.87 states/eV/Cu (one spin) from a published YBa2Cu3O7-x band calculation (Massidda et al.), and N*(0) from a derived "
814582504823455745,K2Cr3As3,3,dfpt,3.3,specific-heat-gamma,-9,"DFPT alpha^2F gives lambda_ep=3.0, omega_ln=71 cm^-1. Experimental mass enhancement gamma_exp/gamma_band = (70-75 mJ/mol K^2)/(16.36 mJ/mol K^2) ~ 4.3 = 1+lambda, giving lambda_exp"
812446916401954817,K2Cr3As3,3,dfpt,3.3,specific-heat-gamma,-9,"Duplicate paper of 814582504823455745 (same K2Cr3As3 study). DFPT alpha^2F gives lambda_ep=3.0, omega_ln=71 cm^-1. Experimental mass enhancement gamma_exp/gamma_calc ~ (70-75)/(16."
