job_id,material,knob_config,functional,pseudo,qgrid,kgrid,smearing_scf_Ry,sku,np,nk,image,status,note
22867110,Na,A0,LDA,Na.pz-n-vbc.UPF(z=1 smallcore),4x4x4,24x24x24,0.01,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"Phase1 pipeline validation; dvscf+dyn+phsave retained via artifacts_distill"
22867111,Na,A0,LDA,Na.pz-n-vbc.UPF(z=1 smallcore),6x6x6,24x24x24,0.01,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"q-convergence partner; target grid per manifest"
22867291,Na,A0-kconv,LDA,Na.pz-n-vbc.UPF(z=1 smallcore),4x4x4,32x32x32,0.01,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"k-resolution test for double-delta"
22867292,Na,A0-kconv,LDA,Na.pz-n-vbc.UPF(z=1 smallcore),4x4x4,40x40x40,0.01,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"k-resolution test for double-delta"
22867415,K,A0,LDA,K.pz-n-vbc.UPF(z=1 smallcore),6x6x6,24x24x24,0.01,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"anti-overfit replicate; node below 2kF"
22867416,Al,A0,LDA,Al.pz-vbc.UPF(z=3 smallcore),6x6x6,24x24x24,0.01,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"multivalent fcc; FS beyond first zone"
22867417,Na,vc-relax,LDA,Na.pz-n-vbc.UPF(z=1 smallcore),,24x24x24,0.01,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"LDA equilibrium volume for phonon/volume suspect"
22867428,V,A0,PBE,V_ONCV_PBE.upf,6x6x6,24x24x24,0.02,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"Phase3 d-metal; SG15 PBE (dojo LDA is psp8-only); kernel mismatch documented"
22867430,Ta,A0,PBE,Ta_ONCV_PBE.upf,4x4x4,24x24x24,0.02,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"5d scalar-rel"
22867431,Mo,A0,PBE,Mo_ONCV_PBE.upf,4x4x4,24x24x24,0.02,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"4d low-lambda"
22867432,Pb,A0,PBE,Pb_ONCV_PBE.upf,4x4x4,24x24x24,0.01,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"scalar baseline; FR+SOC next round"
22867433,NbC,A0,PBE,Nb+C_ONCV_PBE,4x4x4,24x24x24,0.02,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"B1 carbide; Kohn anomaly known to need q6 - q4 first pass"
22867434,MgB2,A0,PBE,Mg+B_ONCV_PBE,4x4x3,16x16x12,0.02,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"multiband covalent; expected A1 ceiling"
22867435,Nb3Sn,A0,PBE,Nb+Sn_ONCV_PBE,2x2x2,12x12x12,0.02,c8_m64_cpu,8,1,registry.dp.tech/dptech/quantum-espresso:7.1,submitted,"A15 8-atom smoke"
